BLOCK_ID,BLOCK_NAME,Group number,YEAR,number of samples,Distance from 187x shoreline,Distance from the year on the 187x-side of change vector,YEAR on the 187x-side of change vector,Era number,reference shoreline?,Average Easting,Average Northing,Change Rates (m/yr),IntervalStart,IntervalEnd,Change Vector,ChgRate (m/yr)
NBc6,Moclips (NBc6),11.14893617,1887,47,0,NaN,NaN,5,1,218927.3255,217361.7362,0.2,1700,1887,34,0.2
NBc6,Moclips (NBc6),11.14893617,1927,47,-6,-6.006382979,1887,8,0,218933.2574,217362.6106,-0.2,1887,1927,-6,-0.2
NBc6,Moclips (NBc6),11.23913043,1950,46,50,55.61369565,1927,9,0,218902.4391,217252.5283,2.4,1927,1950,56,2.4
NBc6,Moclips (NBc6),11.31111111,1967.3,45,1,-49.08444444,1950.5,10,0,218959.6244,217214.3378,-2.8,1950,1999,36,0.7
NBc6,Moclips (NBc6),11.14583333,1974.5,48,39,38.958125,1967.33,11,0,218884.8375,217379.8313,5.4,1887,1999,86,0.8
NBc6,Moclips (NBc6),11.03921569,1987.4,51,77,37.2045098,1974.45,12,0,218828.1098,217474.5294,2.9,,,,
NBc6,Moclips (NBc6),11.10309278,1999.4,29.01546392,86,9.856582474,1987.442268,14,0,218836.4116,217381.8119,0.7,,,,
NBc6,Moclips (NBc6),11.14583333,2006.5,48,122,36.27041667,1999.4,15,0,218797.4042,217393.8479,5.1,,,,
NBc5,Pacific & Roosevelt Beach (NBc5),16.35135135,1700,37,-10,-10.43918919,1887,3,0,219854.5919,212189.9973,,,,,
NBc5,Pacific & Roosevelt Beach (NBc5),16.17391304,1887,46,0,NaN,NaN,5,1,219833.5696,212287.2957,0.1,1700,1887,10,0.1
NBc5,Pacific & Roosevelt Beach (NBc5),16.17391304,1927,46,10,9.876086957,1887,8,0,219823.8391,212285.6239,0.2,1887,1927,10,0.2
NBc5,Pacific & Roosevelt Beach (NBc5),16.12765957,1950,47,89,79.23021277,1927,9,0,219732.4957,212370.1617,3.4,1927,1950,79,3.4
NBc5,Pacific & Roosevelt Beach (NBc5),16.27272727,1967.3,44,20,-68.63886364,1950.5,10,0,219821.4545,212226.6386,-4,1950,1999,8,0.2
NBc5,Pacific & Roosevelt Beach (NBc5),16.12765957,1974.5,47,60,39.52851064,1967.33,11,0,219760.3957,212384.6596,5.5,1887,1999,97,0.9
NBc5,Pacific & Roosevelt Beach (NBc5),16.17021277,1987.4,47,89,28.5087234,1974.45,12,0,219739.6362,212322.9447,2.2,,,,
NBc5,Pacific & Roosevelt Beach (NBc5),16.08333333,1995.7,48,100,11.10604167,1987.5,13,0,219720.2479,212404.8833,1.3,,,,
NBc5,Pacific & Roosevelt Beach (NBc5),16.04081633,1999.5,49,97,-2.535714286,1995.67,14,0,219715.5429,212451.1347,-0.7,,,,
NBc5,Pacific & Roosevelt Beach (NBc5),16.08333333,2006.5,48,121,23.719375,1999.4,15,0,219698.0083,212403.325,3.4,,,,
NBc4,"Iron Springs, Copalis River Mouth (NBc4)",21.04255319,1700,47,-154,-154.2789362,1887,3,0,220631.6723,207527.4617,,,,,
NBc4,"Iron Springs, Copalis River Mouth (NBc4)",20.93181818,1887,44,0,NaN,NaN,5,1,220467.5477,207577.575,0.8,1700,1887,154,0.8
NBc4,"Iron Springs, Copalis River Mouth (NBc4)",20.93181818,1927,44,-21,-21.28613636,1887,8,0,220488.4977,207580.8977,-0.5,1887,1927,-21,-0.5
NBc4,"Iron Springs, Copalis River Mouth (NBc4)",20.47368421,1950,38,102,123.3057895,1927,9,0,220287.6316,208071.0368,5.4,1927,1950,123,5.4
NBc4,"Iron Springs, Copalis River Mouth (NBc4)",20.69230769,1967.3,39,50,-51.91461538,1950.5,10,0,220386.2872,207838.9256,-3,1950,1999,57,1.2
NBc4,"Iron Springs, Copalis River Mouth (NBc4)",20.86956522,1974.5,46,91,41.38021739,1967.33,11,0,220381.45,207640.95,5.8,1887,1999,159,1.4
NBc4,"Iron Springs, Copalis River Mouth (NBc4)",20.92857143,1987.4,42,141,49.99190476,1974.45,12,0,220331.0429,207548.419,3.9,,,,
NBc4,"Iron Springs, Copalis River Mouth (NBc4)",21,1995.7,47,175,33.14042553,1987.5,13,0,220319.483,207515.5702,4,,,,
NBc4,"Iron Springs, Copalis River Mouth (NBc4)",21.06521739,1999.5,46,159,-15.26934783,1995.67,14,0,220340.0761,207457.6457,-4,,,,
NBc4,"Iron Springs, Copalis River Mouth (NBc4)",20.97560976,2006.5,41,194,34.63536585,1999.4,15,0,220285.0049,207546.8902,5,,,,
NBc3,Connor Creek mouth (NBc3),26.22222222,1700,45,-272,-271.9626667,1887,3,0,221395.4311,202251.4267,,,,,
NBc3,Connor Creek mouth (NBc3),25.84210526,1887,38,0,NaN,NaN,5,1,221095.4763,202570.2684,1.5,1700,1887,272,1.5
NBc3,Connor Creek mouth (NBc3),25.84210526,1927,38,8,8.126578947,1887,8,0,221087.4158,202569.2842,0.2,1887,1927,8,0.2
NBc3,Connor Creek mouth (NBc3),25.875,1950,40,200,191.98475,1927,9,0,220901.42,202530.635,8.3,1927,1950,192,8.3
NBc3,Connor Creek mouth (NBc3),25.89130435,1967.3,46,202,2.293043478,1950.5,10,0,220889.6043,202567.3283,0.1,1950,1999,196,4
NBc3,Connor Creek mouth (NBc3),25.91489362,1974.5,47,245,42.33574468,1967.33,11,0,220849.5,202555.8702,5.9,1887,1999,396,3.5
NBc3,Connor Creek mouth (NBc3),25.91111111,1987.4,45,329,84.51488889,1974.45,12,0,220763.9644,202524.0356,6.5,,,,
NBc3,Connor Creek mouth (NBc3),25.9787234,1995.7,47,383,54.09702128,1987.5,13,0,220713.7979,202504.0064,6.5,,,,
NBc3,Connor Creek mouth (NBc3),25.92,1999.5,50,396,12.4084,1995.67,14,0,220706.412,202530.976,3.3,,,,
NBc3,Connor Creek mouth (NBc3),26.02173913,2006.5,46,456,60.51173913,1999.4,15,0,220644.7848,202439.6196,8.7,,,,
NBc2,Ocean City (NBc2),32.15384615,650,26,-515,-85.905,1700,2,0,222024.1308,196317.8385,,,,,
NBc2,Ocean City (NBc2),31.06818182,1700,44,-429,-429.1788636,1887,3,0,221870.9318,197454.5886,0.1,,,,
NBc2,Ocean City (NBc2),31.11627907,1887,43,0,NaN,NaN,5,1,221444.4442,197394.3512,2.3,1700,1887,429,2.3
NBc2,Ocean City (NBc2),31.11627907,1927,43,48,48.45604651,1887,8,0,221396.0302,197392.7814,1.2,1887,1927,48,1.2
NBc2,Ocean City (NBc2),31,1950,50,336,287.2268,1927,9,0,221103.3,197523.434,12.5,1927,1950,287,12.5
NBc2,Ocean City (NBc2),31,1967.3,50,360,24.6956,1950.5,10,0,221078.566,197522.2,1.4,1950,1999,235,4.8
NBc2,Ocean City (NBc2),31,1974.5,50,406,45.3216,1967.33,11,0,221033.19,197524.854,6.3,1887,1999,571,5.1
NBc2,Ocean City (NBc2),30.97959184,1987.4,49,510,104.1234694,1974.45,12,0,220929.5265,197510.2857,8.1,,,,
NBc2,Ocean City (NBc2),31,1995.8,50,538,27.9916,1987.5,13,0,220901.036,197518.516,3.4,,,,
NBc2,Ocean City (NBc2),31,1999.5,50,571,33.1894,1995.67,14,0,220867.62,197534.18,8.9,,,,
NBc2,Ocean City (NBc2),31,2006.5,50,628,56.5282,1999.4,15,0,220811.092,197533.656,8.1,,,,
NBc1,City of Ocean Shores (NBc1),35.84,-550,50,-1064,-500.6036,1700,2,0,222641.078,192553.768,,,,,
NBc1,City of Ocean Shores (NBc1),35.84,1700,50,-564,-563.7228,1887,3,0,222141.662,192525.578,0.2,,,,
NBc1,City of Ocean Shores (NBc1),35.84,1887,50,0,NaN,NaN,5,1,221578.188,192514.064,3,1700,1887,564,3
NBc1,City of Ocean Shores (NBc1),35.84,1927,50,208,207.7562,1887,8,0,221370.448,192516.236,5.2,1887,1927,208,5.2
NBc1,City of Ocean Shores (NBc1),35.84,1950.3,50,512,304.5888,1927,9,0,221066.598,192535.352,13.1,1927,1950,305,13.1
NBc1,City of Ocean Shores (NBc1),35.84,1967.3,50,577,65.0098,1950.84,10,0,221001.144,192525.292,3.8,1950,1999,291,5.9
NBc1,City of Ocean Shores (NBc1),35.84,1974.5,50,635,57.5304,1967.33,11,0,220943.704,192528.588,8,1887,1999,803,7.1
NBc1,City of Ocean Shores (NBc1),35.88235294,1987.4,51,743,108.567451,1974.45,12,0,220833.9333,192515.7706,8.4,,,,
NBc1,City of Ocean Shores (NBc1),35.84,1995.8,50,744,0.0548,1987.5,13,0,220834.44,192521.226,0,,,,
NBc1,City of Ocean Shores (NBc1),35.84,1999.5,50,803,59.765,1995.67,14,0,220775.37,192538.478,15.9,,,,
NBc1,City of Ocean Shores (NBc1),35.84,2006.5,50,870,66.796,1999.4,15,0,220708.656,192541.346,9.6,,,,
NBdS,Ocean Shores Jetty (NBdS),40.52631579,-550,38,-1422,-532.4189474,1700,2,0,223262.05,188246.2395,,,,,
NBdS,Ocean Shores Jetty (NBdS),40.80487805,1700,41,-889,-889.352439,1886.292683,3,0,222767.0439,188087.161,0.2,,,,
NBdS,Ocean Shores Jetty (NBdS),41.72857143,1886.3,70,0,NaN,NaN,5,1,222238.75,186903.3814,4.8,1700,1886,889,4.8
NBdS,Ocean Shores Jetty (NBdS),41.17391304,1909,46,-230,-229.7104348,1886.347826,7,0,222245.2804,187565.1196,-10.1,1886,1927,1185,29.1
NBdS,Ocean Shores Jetty (NBdS),41.72857143,1927,70,1185,1123.935286,1886.271429,8,0,221214.6729,186590.5629,78.6,1927,1951,329,13.7
NBdS,Ocean Shores Jetty (NBdS),41.86666667,1951,75,1514,1123.935286,1927,9,0,220749.8387,186428.856,13.7,1951,1999,194,4
NBdS,Ocean Shores Jetty (NBdS),41.46031746,1967.3,63,1555,40.55063492,1951.5,10,0,220572.7508,186898.2302,2.5,1886,1999,1709,15.1
NBdS,Ocean Shores Jetty (NBdS),41.46031746,1974.6,63,1612,57.18396825,1967.33,11,0,220516.1143,186906.2476,7.8,,,,
NBdS,Ocean Shores Jetty (NBdS),41.53968254,1987.4,63,1664,52.10126984,1974.45,12,0,220457.6746,186831.0397,4.1,,,,
NBdS,Ocean Shores Jetty (NBdS),41.46031746,1995.8,63,1668,3.555079365,1987.5,13,0,220457.0857,186888.7016,0.4,,,,
NBdS,Ocean Shores Jetty (NBdS),41.46031746,1999.5,63,1709,40.88714286,1995.67,14,0,220417.2905,186902.2698,10.9,,,,
NBdS,Ocean Shores Jetty (NBdS),41.46031746,2006.5,63,1743,34.36444444,1999.4,15,0,220383.0127,186904.0603,4.9,,,,
