BLOCK_ID,BLOCK_NAME,Group number,YEAR,number of samples,Distance from 187x shoreline,Distance from the year on the 187x-side of change vector,YEAR on the 187x-side of change vector,Era number,reference shoreline?,Average Easting,Average Northing,Change Rates (m/yr),IntervalStart,IntervalEnd,Change Vector,ChgRate (m/yr)
LBc6,Oysterville (LBc6),87.90697674,1974.8,43,4,-48.84837209,1963.67,11,0,227010.7535,142161.5977,-4.4,1871,1999,97,0.8
LBc6,Oysterville (LBc6),87.92682927,1986.4,41,23,18.95195122,1974.72,12,0,226991.8171,142173.061,1.6,,,,
LBc6,Oysterville (LBc6),87.92857143,1995.8,42,84,61.21261905,1986.42,13,0,226934.4857,142127.3357,6.6,,,,
LBc6,Oysterville (LBc6),87.9,1999.5,40,97,13.32925,1995.75,14,0,226920.35,142179,3.6,,,,
LBc6,Oysterville (LBc6),87.90697674,2006.5,43,126,28.98139535,1999.4,15,0,226892.8744,142160.9674,4.2,,,,
LBc5,Ocean Park & Airstrip (LBc5),93.05882353,-2550,51,-1925,-924.1692157,250,1,0,229027.6431,137474.4275,,,,,
LBc5,Ocean Park & Airstrip (LBc5),93.03921569,250,51,-1001,-728.6535294,1700,2,0,228102.0294,137490.2745,0.3,,,,
LBc5,Ocean Park & Airstrip (LBc5),93.03921569,1700,51,-273,-272.6294118,1872,3,0,227374.0843,137506.2039,0.5,,,,
LBc5,Ocean Park & Airstrip (LBc5),93.04,1872,50,0,NaN,NaN,5,1,227101.806,137503.054,1.6,1700,1872,273,1.6
LBc5,Ocean Park & Airstrip (LBc5),93.04,1926,50,101,100.6074,1872,8,0,227001.204,137503.64,1.9,1872,1926,101,1.9
LBc5,Ocean Park & Airstrip (LBc5),92.95918367,1951,49,67,-33.18816327,1926,9,0,227034.6224,137575.0714,-1.3,1926,1951,-33,-1.3
LBc5,Ocean Park & Airstrip (LBc5),93.04,1963.7,50,103,35.2656,1951.6472,10,0,226997.928,137509.58,2.8,1951,1999,120,2.5
LBc5,Ocean Park & Airstrip (LBc5),93.04,1974.8,50,110,7.3214,1963.67,11,0,226990.626,137511.598,0.7,1872,1999,188,1.5
LBc5,Ocean Park & Airstrip (LBc5),93.08,1987.4,50,155,45.3014,1974.72,12,0,226944.776,137475.086,3.6,,,,
LBc5,Ocean Park & Airstrip (LBc5),93.02,1995.8,50,188,32.9618,1987.8456,13,0,226905.628,137531.078,3.9,,,,
LBc5,Ocean Park & Airstrip (LBc5),92.95833333,1999.5,48,188,-0.69375,1995.75,14,0,226907.9896,137595.1458,-0.2,,,,
LBc5,Ocean Park & Airstrip (LBc5),93.04,2006.5,50,225,37.5018,1999.4,15,0,226868.432,137512.586,5.4,,,,
LBc4,Klipsan Beach (LBc4),98.06,-2550,50,-1785,-959.521,250,1,0,228799.738,132420.942,,,,,
LBc4,Klipsan Beach (LBc4),98.06,250,50,-825,-656.6456,1700,2,0,227840.844,132454.94,0.3,,,,
LBc4,Klipsan Beach (LBc4),98.12244898,1700,49,-169,-168.5004082,1872.489796,3,0,227175.2776,132410.551,0.5,,,,
LBc4,Klipsan Beach (LBc4),98.19148936,1872.5,47,0,NaN,NaN,5,1,227004.9851,132359.6894,1,1700,1872,169,1
LBc4,Klipsan Beach (LBc4),98.19148936,1926,47,70,69.66744681,1872.510638,8,0,226935.3362,132361.2191,1.3,1872,1926,70,1.3
LBc4,Klipsan Beach (LBc4),98,1957,50,94,24.3238,1926,9,0,226914.598,132539.522,0.8,1926,1957,24,0.8
LBc4,Klipsan Beach (LBc4),98.06,1963.7,50,139,44.9642,1957.67,10,0,226868.288,132511.788,6.7,1957,1999,178,4.2
LBc4,Klipsan Beach (LBc4),98.06,1974.8,50,159,20.2314,1963.67,11,0,226848.106,132515.474,1.8,1872,1999,272,2.1
LBc4,Klipsan Beach (LBc4),98.06,1988.6,50,246,86.5354,1974.72,12,0,226759.866,132479.896,6.3,,,,
LBc4,Klipsan Beach (LBc4),98.02,1995.8,50,269,22.8526,1988.58,13,0,226739.35,132534.088,3.2,,,,
LBc4,Klipsan Beach (LBc4),98.06,1999.5,50,272,3.3184,1995.75,14,0,226735.19,132515.074,0.9,,,,
LBc4,Klipsan Beach (LBc4),98.06,2006.5,50,315,42.9758,1999.4,15,0,226692.266,132517.072,6.2,,,,
LBc3,Loomis Lake State Park (LBc3),102.96,-2550,50,-1654,-871.5706,250,1,0,228496.636,127425.44,,,,,
LBc3,Loomis Lake State Park (LBc3),102.96,250,50,-782,-633.2272,1700,2,0,227625.37,127451.962,0.3,,,,
LBc3,Loomis Lake State Park (LBc3),102.96,1700,50,-149,-149.244,1873,3,0,226991.704,127463.646,0.4,,,,
LBc3,Loomis Lake State Park (LBc3),102.96,1873,50,0,NaN,NaN,5,1,226843.592,127505.554,0.9,1700,1873,149,0.9
LBc3,Loomis Lake State Park (LBc3),102.96,1926,50,47,46.7454,1873,8,0,226796.894,127507.484,0.9,1873,1926,47,0.9
LBc3,Loomis Lake State Park (LBc3),102.92,1957,50,187,140.5848,1926,9,0,226657.81,127548.8,4.5,1926,1957,141,4.5
LBc3,Loomis Lake State Park (LBc3),102.96,1963.7,50,246,58.3108,1957.67,10,0,226597.55,127522.638,8.7,1957,1999,231,5.4
LBc3,Loomis Lake State Park (LBc3),102.96,1974.8,50,281,35.578,1963.67,11,0,226562.094,127525.662,3.2,1873,1999,418,3.3
LBc3,Loomis Lake State Park (LBc3),102.96,1988.6,50,376,94.9946,1974.72,12,0,226464.344,127490.192,6.9,,,,
LBc3,Loomis Lake State Park (LBc3),102.96,1995.8,50,409,32.4046,1988.58,13,0,226435.538,127542.794,4.5,,,,
LBc3,Loomis Lake State Park (LBc3),102.96,1999.5,50,418,9.7674,1995.75,14,0,226424.578,127524.794,2.6,,,,
LBc3,Loomis Lake State Park (LBc3),102.96,2006.5,50,458,39.5958,1999.4,15,0,226385.08,127527.638,5.7,,,,
LBc2,Breakers Lake (LBc2),108.0196078,-2550,51,-1490,-893.515098,250,1,0,228077.249,122369.0392,,,,,
LBc2,Breakers Lake (LBc2),107.96,250,50,-596,-543.8304,1700,2,0,227188.834,122459.746,0.3,,,,
LBc2,Breakers Lake (LBc2),107.94,1700,50,-53,-52.511,1873,3,0,226645.414,122476.368,0.4,,,,
LBc2,Breakers Lake (LBc2),107.94,1873,50,0,NaN,NaN,5,1,226594.704,122510.894,0.3,1700,1873,53,0.3
LBc2,Breakers Lake (LBc2),107.94,1926,50,54,54.1164,1873,8,0,226540.72,122514.626,1,1873,1926,54,1
LBc2,Breakers Lake (LBc2),107.9,1957,50,352,298.0724,1926,9,0,226245.944,122569.924,9.6,1926,1957,298,9.6
LBc2,Breakers Lake (LBc2),107.92,1963.7,50,421,68.78,1957.67,10,0,226174.556,122542.516,10.3,1957,1999,233,5.5
LBc2,Breakers Lake (LBc2),107.92,1974.8,50,449,28.2224,1963.67,11,0,226146.604,122546.284,2.5,1873,1999,585,4.6
LBc2,Breakers Lake (LBc2),107.94,1988.6,50,537,87.7294,1974.72,12,0,226054.692,122508.708,6.3,,,,
LBc2,Breakers Lake (LBc2),107.9607843,1995.8,51,577,40.40647059,1988.58,13,0,226014.1647,122510.7431,5.6,,,,
LBc2,Breakers Lake (LBc2),107.8571429,1999.5,49,585,7.528367347,1995.75,14,0,226014.0347,122589.1673,2,,,,
LBc2,Breakers Lake (LBc2),107.9,2006.5,50,618,33.4972,1999.4,15,0,225976.662,122546.562,4.8,,,,
LBc1,Long Beach & Seaview (LBc1),111.7407407,-2550,27,-1062,-786.2537037,250,1,0,227367.8852,118497.6407,,,,,
LBc1,Long Beach & Seaview (LBc1),111.9032258,250,31,-276,-227.51,1700,2,0,226558.2452,118450.1548,0.3,,,,
LBc1,Long Beach & Seaview (LBc1),111.9,1700,30,-48,-48.225,1873,3,0,226333.0567,118484.99,0.2,,,,
LBc1,Long Beach & Seaview (LBc1),112.5416667,1871.6,48,0,NaN,NaN,5,1,226153.0104,117609.175,0.3,1700,1871,48,0.3
LBc1,Long Beach & Seaview (LBc1),112.5416667,1926,48,93,92.84875,1871.583333,8,0,226061.3042,117622.0083,1.7,1871,1926,93,1.7
LBc1,Long Beach & Seaview (LBc1),113.0327869,1955.4,61,496,402.7218033,1926,9,0,225522.541,117088.8262,13.7,1926,1955,403,13.7
LBc1,Long Beach & Seaview (LBc1),113.0166667,1963.7,60,545,48.94333333,1956.7445,10,0,225474.9933,117092.5383,5.9,1955,1999,132,3
LBc1,Long Beach & Seaview (LBc1),113.0491803,1974.8,61,575,30.65163934,1963.67,11,0,225434.0689,117049.777,2.8,1871,1999,628,4.9
LBc1,Long Beach & Seaview (LBc1),113.1147541,1988.6,61,603,27.92688525,1974.72,12,0,225384.0541,116961.6656,2,,,,
LBc1,Long Beach & Seaview (LBc1),113.1451613,1995.8,62,653,50.1066129,1988.601774,13,0,225327.7145,116914.8871,7,,,,
LBc1,Long Beach & Seaview (LBc1),113.0983607,1999.5,61,628,-25.52508197,1995.75,14,0,225366.6721,116995.0213,-6.8,,,,
LBc1,Long Beach & Seaview (LBc1),113.1129032,2006.5,62,657,29.56451613,1999.4,15,0,225336.6774,116987.471,4.2,,,,
LBdS,Cape Dissappointment (LBdS),116.7826087,1869,23,0,NaN,NaN,5,1,225505.3043,112103.6609,,,,,
LBdS,Cape Dissappointment (LBdS),116.7826087,1914,23,0,0,1869,7,0,225505.3043,112103.6609,0,,,,
LBdS,Cape Dissappointment (LBdS),116.7826087,1926,23,1050,1050.125652,1869,8,0,224527.5957,111806.9087,87.5,1869,1926,1050,18.4
LBdS,Cape Dissappointment (LBdS),117.1081081,1951,37,1399,349.1251351,1926,9,0,224001.4378,111586.3784,14,1926,1951,349,14
LBdS,Cape Dissappointment (LBdS),117.0277778,1963.7,36,1351,-48.58944444,1951.5,10,0,224044.3944,111621.0806,-3.8,1951,1999,-400,-8.2
LBdS,Cape Dissappointment (LBdS),117,1974.8,35,1228,-122.9211429,1963.67,11,0,224175.5457,111653.7657,-11.1,1869,1999,1000,7.7
LBdS,Cape Dissappointment (LBdS),116.969697,1988.6,33,1137,-90.44424242,1974.72,12,0,224277.0242,111730.0091,-6.5,"The Average ChangeRate from 1914 to 1926 is +53.9 m/yr using the ""jetty transect"" method",,,
LBdS,Cape Dissappointment (LBdS),116.9375,1995.8,32,1097,-39.919375,1988.641875,13,0,224326.0938,111802.0063,-5.6,,,,
LBdS,Cape Dissappointment (LBdS),116.9354839,1999.5,31,1000,-97.68935484,1995.75,14,0,224414.4258,111771.0323,-26.1,"The Average ChangeRate from 1914 to 1926 is +87.5 m/yr using the ""standard"" method",,,
LBdS,Cape Dissappointment (LBdS),116.862069,2006.5,29,990,-9.32137931,1999.4,15,0,224426.1276,111849.3759,-1.3,,,,
